2021-12-31,1.1326
2022-01-03,1.1355
2022-01-04,1.1279
2022-01-05,1.1319
2022-01-06,1.1315
2022-01-07,1.1298
2022-01-10,1.1318
2022-01-11,1.1336
2022-01-12,1.1370
2022-01-13,1.1463
2022-01-14,1.1447
2022-01-17,1.1403
2022-01-18,1.1367
2022-01-19,1.1345
2022-01-20,1.1338
2022-01-21,1.1348
2022-01-24,1.1304
2022-01-25,1.1268
2022-01-26,1.1277
2022-01-27,1.1160
2022-01-28,1.1138
2022-01-31,1.1156
2022-02-01,1.1260
2022-02-02,1.1323
2022-02-03,1.1286
2022-02-04,1.1464
2022-02-07,1.1447
2022-02-08,1.1408
2022-02-09,1.1435
2022-02-10,1.1439
2022-02-11,1.1417
2022-02-14,1.1316
2022-02-15,1.1345
2022-02-16,1.1372
2022-02-17,1.1370
2022-02-18,1.1354
2022-02-21,1.1338
2022-02-22,1.1342
2022-02-23,1.1344
2022-02-24,1.1163
2022-02-25,1.1216
2022-02-28,1.1199
2022-03-01,1.1162
2022-03-02,1.1106
2022-03-03,1.1076
2022-03-04,1.0929
2022-03-07,1.0895
2022-03-08,1.0892
2022-03-09,1.0993
2022-03-10,1.1084
2022-03-11,1.0990
2022-03-14,1.0960
2022-03-15,1.0991
2022-03-16,1.0994
2022-03-17,1.1051
2022-03-18,1.1008
2022-03-21,1.1038
2022-03-22,1.1024
2022-03-23,1.0985
2022-03-24,1.0978
2022-03-25,1.1002
2022-03-28,1.0966
2022-03-29,1.1085
2022-03-30,1.1126
2022-03-31,1.1101
2022-04-01,1.1052
2022-04-04,1.1005
2022-04-05,1.0969
2022-04-06,1.0923
2022-04-07,1.0916
2022-04-08,1.0861
2022-04-11,1.0900
2022-04-12,1.0861
2022-04-13,1.0826
2022-04-14,1.0878
2022-04-19,1.0803
2022-04-20,1.0830
2022-04-21,1.0887
2022-04-22,1.0817
2022-04-25,1.0746
2022-04-26,1.0674
2022-04-27,1.0583
2022-04-28,1.0485
2022-04-29,1.0540
2022-05-02,1.0524
2022-05-03,1.0556
2022-05-04,1.0531
2022-05-05,1.0568
2022-05-06,1.0570
2022-05-09,1.0559
2022-05-10,1.0554
2022-05-11,1.0553
2022-05-12,1.0408
2022-05-13,1.0385
2022-05-16,1.0422
2022-05-17,1.0541
2022-05-18,1.0523
2022-05-19,1.0525
2022-05-20,1.0577
2022-05-23,1.0659
2022-05-24,1.0720
2022-05-25,1.0656
2022-05-26,1.0697
2022-05-27,1.0722
2022-05-30,1.0764
2022-05-31,1.0713
2022-06-01,1.0712
2022-06-02,1.0692
2022-06-03,1.0730
2022-06-06,1.0726
2022-06-07,1.0662
2022-06-08,1.0739
2022-06-09,1.0743
2022-06-10,1.0578
2022-06-13,1.0455
2022-06-14,1.0452
2022-06-15,1.0431
2022-06-16,1.0400
2022-06-17,1.0486
2022-06-20,1.0517
2022-06-21,1.0550
2022-06-22,1.0521
2022-06-23,1.0493
2022-06-24,1.0524
2022-06-27,1.0572
2022-06-28,1.0561
2022-06-29,1.0517
2022-06-30,1.0387
2022-07-01,1.0425
2022-07-04,1.0455
2022-07-05,1.0290
2022-07-06,1.0177
2022-07-07,1.0180
2022-07-08,1.0163
2022-07-11,1.0098
2022-07-12,1.0042
2022-07-13,1.0067
2022-07-14,1.0005
2022-07-15,1.0059
2022-07-18,1.0131
2022-07-19,1.0245
2022-07-20,1.0199
2022-07-21,1.0199
2022-07-22,1.0190
2022-07-25,1.0236
2022-07-26,1.0124
2022-07-27,1.0152
2022-07-28,1.0122
2022-07-29,1.0198
2022-08-01,1.0233
2022-08-02,1.0224
2022-08-03,1.0194
2022-08-04,1.0181
2022-08-05,1.0233
2022-08-08,1.0199
2022-08-09,1.0234
2022-08-10,1.0252
2022-08-11,1.0338
2022-08-12,1.0285
2022-08-15,1.0195
2022-08-16,1.0131
2022-08-17,1.0164
2022-08-18,1.0178
2022-08-19,1.0054
2022-08-22,1.0001
2022-08-23,0.9927
2022-08-24,0.9934
2022-08-25,0.9970
2022-08-26,1.0007
2022-08-29,0.9986
2022-08-30,1.0034
2022-08-31,1.0000
2022-09-01,1.0004
2022-09-02,0.9993
2022-09-05,0.9920
2022-09-06,0.9928
2022-09-07,0.9885
2022-09-08,1.0009
2022-09-09,1.0049
2022-09-12,1.0155
2022-09-13,1.0175
2022-09-14,0.9990
2022-09-15,0.9992
2022-09-16,0.9954
2022-09-19,0.9990
2022-09-20,0.9986
2022-09-21,0.9906
2022-09-22,0.9884
2022-09-23,0.9754
2022-09-26,0.9646
2022-09-27,0.9644
2022-09-28,0.9565
